Label,Current,eps_x [m rad],eps_x_std [m rad],eps_y [m rad],eps_y_std [m rad],sigma_delta_x,sigma_delta_x_std,sigma_delta_y,sigma_delta_y_std,fit_mode_y
Q873 −30A,-30,1.3532006344977924e-06,5.594451595352087e-07,1.1496614195833735e-06,6.334581348077152e-08,0.0004550707736037506,0.00018496308441478127,0.0,,2-param
Q873 −24A,-24,1.3143227627090249e-06,2.565119404784e-07,1.0503721580149666e-06,7.753925716917585e-08,0.00035990890420776713,0.00010306797193808119,0.0,,2-param
Q873 −18A,-18,1.4098862442260785e-06,3.1992624406838855e-07,1.0562696357042728e-06,5.3045254066314723e-08,0.00040688605784280126,0.00011009683431690466,0.0,,2-param
Q873 −12A,-12,1.3095781719447226e-06,2.4423915158627445e-07,9.776309411702262e-07,3.853061115244322e-08,0.00036291620504193815,9.179896770764132e-05,0.0,,2-param
Q873 −6A,-6,1.124098516816486e-06,2.716439671351454e-06,9.504278955550853e-07,1.6569072839558974e-08,0.000241260953274522,0.001503656926237689,0.0,,2-param
Q873 Baseline,0,1.3221693908977712e-06,5.913456289335869e-07,8.75400285719855e-07,1.3255258175909557e-08,0.0005648253851821343,0.0001374524120682055,0.0,,2-param
Q873 +6A,+6,1.4593768875800182e-06,6.403375597752466e-07,0.0,2.980139846315434e-06,0.0002216764753372443,0.000374075978281446,1.135024943603165,0.2773485826407706,2-param
Q873 +12A,+12,1.4972793471861613e-06,3.277555634158589e-07,8.061136932558744e-07,1.1970954459765945e-07,0.00036129630631215434,0.0001161954847372206,0.0,,2-param
Q873 +18A,+18,1.531691968442315e-06,5.023215509913027e-07,8.146349287973624e-07,1.048656006163953e-08,0.00035410064690026945,0.00018011809169023234,0.0,,2-param
Q873 +24A,+24,1.5212741227669238e-06,7.680531456736069e-08,8.225970055149677e-07,1.1421028521465737e-08,0.0003526949069096088,2.745885398818522e-05,0.0,,2-param
Q873 +30A,+30,1.5004160262842583e-06,4.530808335626464e-07,8.134007573735575e-07,6.42602020223419e-08,0.0003391914466026116,0.00016751446977170814,0.0,,2-param
