,Dx_est_MW873,Dx_est_MW875,Dx_est_MW876,Dx_model_MW873,Dx_model_MW875,Dx_model_MW876
Q873 −30A,-2.6414230935625205,-4.3344350881035405,-2.639448155744134,-1.370226395,-4.65436728,-3.275205544
Q873 −24A,-2.496510477796839,-4.051559405803056,-2.8271603179831315,-1.370226395,-4.928743251,-3.587365037
Q873 −18A,-2.6040370796888923,-4.575541249472505,-3.2570473061111476,-1.370226395,-5.205491202,-3.902335018
Q873 −12A,-2.4823003910922625,-4.484103089878464,-3.3230621220156906,-1.370226395,-5.484656636,-4.220167892
Q873 −6A,-2.5395875579352496,-4.761202957142494,-0.0,-1.370226395,-5.766249814,-4.540875982
Q873 Baseline,-2.641949361324269,-6.157343761414123,-4.608295858167771,-1.370226395,-6.050281028,-4.864471642
Q873 +6A,-2.47114876006678,-4.434485842344163,-4.22008108041467,-1.370226395,-6.336760597,-5.190967265
Q873 +12A,-2.586825453785799,-5.438434202024717,-4.804812955319855,-1.370226395,-6.625698867,-5.520375276
Q873 +18A,-2.6061819571684097,-5.63756797193176,-5.1402625874985715,-1.370226395,-6.917106215,-5.852708133
Q873 +24A,-2.626351189243633,-6.01733614273025,-5.140989629988105,-1.370226395,-7.210993045,-6.187978331
Q873 +30A,-2.5856240081929536,-6.015191865993694,-5.532618171510625,-1.370226395,-7.507408217,-6.526242257
