,MW873 D_x,MW875 D_x,MW876 D_x,MW873 D_y,MW875 D_y,MW876 D_y
Q873 −30A,-1.370226395,-7.507408217,-6.526242257,0.01837524427,-0.004831358387,-0.00815432728
Q873 −24A,-1.370226395,-7.210993045,-6.187978331,0.01837524427,-0.002192345102,-0.005128708741
Q873 −18A,-1.370226395,-6.917106215,-5.852708133,0.01837524427,0.0004711782916,-0.002074792615
Q873 −12A,-1.370226395,-6.625698867,-5.520375276,0.01837524427,0.003159658508,0.001007934404
Q873 −6A,-1.370226395,-6.336760597,-5.190967265,0.01837524427,0.005873203465,0.004119597211
Q873 Baseline,-1.370226395,-6.050281028,-4.864471642,0.01837524427,0.008611921382,0.007260321048
Q873 +6A,-1.370226395,-5.766249814,-4.540875982,0.01837524427,0.01137592078,0.0104302315
Q873 +12A,-1.370226395,-5.484656636,-4.220167892,0.01837524427,0.01416531046,0.01362945451
Q873 +18A,-1.370226395,-5.205491202,-3.902335018,0.01837524427,0.01698019956,0.01685811636
Q873 +24A,-1.370226395,-4.928743251,-3.587365037,0.01837524427,0.0198206975,0.02011634368
Q873 +30A,-1.370226395,-4.65436728,-3.275205544,0.01837524427,0.02268728573,0.0234046899
