,current_setting [a],epsx_95_geom [π·mm·mrad],epsy_95_geom [π·mm·mrad]
-45a,-45.0,1909859.3171027442,1909859.3171027442
-36a,-36.0,1909859.3171027442,1909859.3171027442
-27a,-27.0,1909859.3171027442,1909859.3171027442
-18a,-18.0,1909859.3171027442,1909859.3171027442
-9a,-9.0,1909859.3171027442,1909859.3171027442
+9a,9.0,1909859.3171027442,1909859.3171027442
+18a,18.0,1909859.3171027442,1909859.3171027442
+23.8a,23.8,1909859.3171027442,1909859.3171027442
+27a,27.0,1909859.3171027442,1909859.3171027442
