current,eps_x_m,eps_y_m,sigma_delta
-30,1.1917005001802544e-06,,0.0008280423665674949
-24,1.2213652975658096e-06,,0.0007512664677349363
-18,1.2520679497135432e-06,,0.0006781318236514248
-12,1.2830730383742758e-06,,0.000607682169081918
-6,1.3138559420302593e-06,,0.0005388735330278905
0,1.3440549447760912e-06,,0.0004704513333792247
+6,1.3734294307216256e-06,,0.0004007087298045079
+12,1.4018273854925403e-06,,0.00032688481331479057
+18,1.4291607616470219e-06,,0.00024319135054511756
+24,1.4553871047344374e-06,,0.00012872279938518923
+30,1.4804991702203476e-06,,0.0
